dates,values
2018-01-05 00:00,5.033
2018-01-06 00:00,5.044
2018-01-07 00:00,5.041
2018-01-08 00:00,5.024
2018-01-09 00:00,4.998
2018-01-10 00:00,5.006
2018-01-11 00:00,4.990
2018-01-12 00:00,4.976
2018-01-13 00:00,4.962
2018-01-14 00:00,4.898
2018-01-15 00:00,4.836
2018-01-16 00:00,4.768
2018-01-17 00:00,4.693
2018-01-18 00:00,4.604
2018-01-19 00:00,4.514
2018-01-20 00:00,4.434
2018-01-21 00:00,4.406
2018-01-22 00:00,4.365
2018-01-23 00:00,4.332
2018-01-24 00:00,4.273
2018-01-25 00:00,4.228
2018-01-26 00:00,4.186
2018-01-27 00:00,4.133
2018-01-28 00:00,4.084
2018-01-29 00:00,3.977
2018-01-30 00:00,3.890
2018-01-31 00:00,3.821
2018-02-01 00:00,3.719
2018-02-02 00:00,3.631
2018-02-03 00:00,3.570
2018-02-04 00:00,3.510
2018-02-05 00:00,3.524
2018-02-06 00:00,3.536
2018-02-07 00:00,3.541
2018-02-08 00:00,3.532
2018-02-09 00:00,3.516
2018-02-10 00:00,3.505
2018-02-11 00:00,3.498
2018-02-12 00:00,3.500
2018-02-13 00:00,3.490
2018-02-14 00:00,3.473
2018-02-15 00:00,3.469
2018-02-16 00:00,3.461
2018-02-17 00:00,3.451
2018-02-18 00:00,3.448
2018-02-19 00:00,3.449
2018-02-20 00:00,3.446
2018-02-21 00:00,3.442
2018-02-22 00:00,3.439
2018-02-23 00:00,3.427
2018-02-24 00:00,3.430
2018-02-25 00:00,3.449
2018-02-26 00:00,3.362
2018-02-27 00:00,3.482
2018-02-28 00:00,3.544
2018-03-01 00:00,4.111
2018-03-02 00:00,4.136
2018-03-03 00:00,4.142
2018-03-04 00:00,4.343
2018-03-05 00:00,4.361
2018-03-06 00:00,4.343
2018-03-07 00:00,4.375
2018-03-08 00:00,4.383
2018-03-09 00:00,4.433
2018-03-10 00:00,4.478
2018-03-11 00:00,4.506
2018-03-12 00:00,4.529
2018-03-13 00:00,4.600
2018-03-14 00:00,4.664
2018-03-15 00:00,4.729
2018-03-16 00:00,4.780
2018-03-17 00:00,4.817
2018-03-18 00:00,4.798
2018-03-19 00:00,4.858
2018-03-20 00:00,4.966
2018-03-21 00:00,5.081
2018-03-22 00:00,5.218
2018-03-23 00:00,5.347
2018-03-24 00:00,5.520
2018-03-25 00:00,5.672
2018-03-26 00:00,5.790
2018-03-27 00:00,5.998
2018-03-28 00:00,6.183
2018-03-29 00:00,6.298
2018-03-30 00:00,6.356
2018-03-31 00:00,6.400
2018-04-01 00:00,7.878
2018-04-02 00:00,8.080
2018-04-03 00:00,8.233
2018-04-04 00:00,8.389
2018-04-05 00:00,8.538
2018-04-06 00:00,8.623
2018-04-07 00:00,8.642
2018-04-08 00:00,8.740
2018-04-09 00:00,8.652
2018-04-10 00:00,8.525
2018-04-11 00:00,8.470
2018-04-12 00:00,8.475
2018-04-13 00:00,8.541
2018-04-14 00:00,8.710
2018-04-15 00:00,8.809
2018-04-16 00:00,8.937
2018-04-17 00:00,9.061
2018-04-18 00:00,9.151
2018-04-19 00:00,9.263
2018-04-20 00:00,9.402
2018-04-21 00:00,9.510
2018-04-22 00:00,9.629
2018-04-23 00:00,9.768
2018-04-24 00:00,10.017
2018-04-25 00:00,10.381
2018-04-26 00:00,10.792
2018-04-27 00:00,11.172
